Entry Date,SPY 6M,RSP 6M,RSP Edge 6M,SPY 12M,RSP 12M,RSP Edge 12M,SPY 24M,RSP 24M,RSP Edge 24M
2021-12-01,-6.7%,-0.4%,+6.3%,-8.2%,-0.1%,+8.1%,+4.5%,+2.8%,-1.7%
2023-05-10,+6.7%,-0.5%,-7.2%,+28.0%,+18.8%,-9.2%,+46.2%,+28.4%,-17.9%
2023-05-11,+6.0%,-0.8%,-6.9%,+28.2%,+19.3%,-8.9%,+47.2%,+30.2%,-17.0%
2023-05-12,+7.8%,+0.3%,-7.5%,+29.0%,+19.8%,-9.2%,+48.3%,+31.4%,-16.9%
2023-05-15,+7.4%,-0.4%,-7.7%,+30.1%,+20.1%,-10.1%,+48.0%,+30.7%,-17.3%
2023-05-16,+10.2%,+3.9%,-6.2%,+30.7%,+21.6%,-9.1%,+48.5%,+32.2%,-16.3%
2023-05-17,+9.1%,+3.1%,-6.0%,+29.4%,+20.3%,-9.1%,+44.2%,+27.7%,-16.5%
2023-05-18,+8.2%,+2.0%,-6.2%,+28.3%,+19.2%,-9.1%,+42.9%,+26.3%,-16.6%
2023-05-19,+8.5%,+2.7%,-5.7%,+28.8%,+19.5%,-9.3%,+42.1%,+26.1%,-16.0%
2023-05-22,+9.3%,+3.0%,-6.3%,+28.3%,+18.8%,-9.5%,+45.0%,+28.3%,-16.8%
2023-05-23,+10.3%,+3.9%,-6.4%,+28.9%,+18.4%,-10.4%,+45.8%,+28.6%,-17.3%
2023-05-24,+11.5%,+5.5%,-6.0%,+30.7%,+20.5%,-10.1%,+47.5%,+30.3%,-17.2%
2023-05-25,+10.6%,+5.9%,-4.7%,+29.6%,+19.8%,-9.9%,+46.0%,+30.3%,-15.7%
2023-05-26,+9.0%,+4.8%,-4.2%,+27.1%,+17.4%,-9.7%,+45.0%,+29.3%,-15.6%
2023-05-30,+9.1%,+4.9%,-4.2%,+26.2%,+18.1%,-8.1%,+45.8%,+30.6%,-15.1%
2023-05-31,+9.6%,+6.2%,-3.3%,+28.0%,+20.7%,-7.3%,+46.5%,+31.5%,-15.0%
2023-06-01,+9.0%,+6.3%,-2.6%,+26.9%,+19.2%,-7.7%,+44.4%,+30.2%,-14.3%
2023-06-02,+8.1%,+5.6%,-2.4%,+25.3%,+16.3%,-9.0%,+43.8%,+28.5%,-15.4%
2023-06-05,+7.7%,+6.1%,-1.7%,+27.0%,+17.4%,-9.6%,+44.3%,+28.9%,-15.3%
2023-06-06,+7.4%,+4.4%,-3.0%,+26.7%,+16.4%,-10.3%,+44.8%,+28.7%,-16.0%
2023-06-08,+7.6%,+4.2%,-3.4%,+26.6%,+15.4%,-11.2%,+44.5%,+27.7%,-16.9%
2023-06-09,+7.8%,+4.6%,-3.2%,+26.7%,+15.1%,-11.6%,+42.7%,+26.3%,-16.4%
2023-06-12,+7.3%,+4.9%,-2.4%,+26.6%,+15.0%,-11.6%,+42.7%,+26.6%,-16.1%
2023-06-13,+7.1%,+4.0%,-3.0%,+26.0%,+13.5%,-12.5%,+40.6%,+24.2%,-16.4%
2023-06-14,+8.4%,+6.5%,-1.9%,+26.0%,+13.0%,-12.9%,+40.4%,+24.5%,-15.9%
2023-06-15,+7.4%,+6.7%,-0.7%,+25.4%,+12.6%,-12.8%,+38.4%,+23.3%,-15.1%
2023-06-16,+7.6%,+6.0%,-1.6%,+26.1%,+12.9%,-13.2%,+40.2%,+24.5%,-15.7%
2023-06-20,+8.8%,+7.0%,-1.8%,+26.5%,+14.0%,-12.4%,+42.5%,+26.8%,-15.7%
2023-06-21,+10.0%,+8.1%,-1.9%,+26.9%,+14.3%,-12.6%,+43.3%,+26.0%,-17.3%
2023-06-22,+8.1%,+6.7%,-1.4%,+26.1%,+15.4%,-10.7%,+43.9%,+27.5%,-16.4%
2023-06-23,+9.9%,+9.0%,-1.0%,+27.5%,+15.6%,-12.0%,+45.7%,+29.1%,-16.6%
2024-05-28,+13.5%,+14.5%,+1.0%,+12.7%,+8.8%,-3.8%,+46.9%,+31.7%,-15.1%
2024-05-29,+14.9%,+15.9%,+1.0%,+14.1%,+10.2%,-3.9%,+46.9%,+32.8%,-14.1%
2024-06-04,+15.0%,+14.2%,-0.8%,+14.8%,+10.5%,-4.4%,+42.9%,+31.5%,-11.4%
2024-06-05,+14.4%,+13.6%,-0.8%,+13.6%,+9.8%,-3.8%,+39.0%,+29.0%,-9.9%
2024-06-06,+14.2%,+13.2%,-1.0%,+14.2%,+10.6%,-3.6%,+41.3%,+31.3%,-10.0%
2024-06-07,+14.5%,+13.4%,-1.1%,+14.0%,+10.6%,-3.4%,N/A,N/A,N/A
2024-06-10,+13.6%,+12.7%,-0.9%,+14.1%,+10.6%,-3.6%,N/A,N/A,N/A
2024-06-11,+13.0%,+12.4%,-0.5%,+12.6%,+9.7%,-2.9%,N/A,N/A,N/A
2024-06-12,+12.9%,+11.9%,-1.0%,+12.7%,+10.2%,-2.6%,N/A,N/A,N/A
2024-06-13,+12.1%,+11.9%,-0.3%,+11.6%,+9.4%,-2.1%,N/A,N/A,N/A
2024-06-14,+12.0%,+12.2%,+0.2%,+11.5%,+10.1%,-1.3%,N/A,N/A,N/A
2024-06-17,+11.6%,+11.0%,-0.6%,+10.3%,+9.5%,-0.8%,N/A,N/A,N/A
2024-06-18,+10.9%,+9.9%,-1.0%,+11.1%,+10.2%,-0.9%,N/A,N/A,N/A
2024-06-20,+7.9%,+6.5%,-1.3%,+12.7%,+11.2%,-1.5%,N/A,N/A,N/A
2024-06-21,+8.0%,+6.0%,-1.9%,+12.9%,+10.2%,-2.6%,N/A,N/A,N/A
2024-06-24,+9.6%,+7.0%,-2.6%,+14.1%,+10.5%,-3.6%,N/A,N/A,N/A
2024-06-25,+9.9%,+7.9%,-1.9%,+14.3%,+11.7%,-2.6%,N/A,N/A,N/A
2024-06-26,+10.9%,+9.1%,-1.8%,+14.7%,+12.7%,-2.0%,N/A,N/A,N/A
2024-06-27,+10.8%,+9.2%,-1.6%,+14.5%,+13.8%,-0.6%,N/A,N/A,N/A
2024-06-28,+10.0%,+8.4%,-1.7%,+15.4%,+14.0%,-1.4%,N/A,N/A,N/A
2024-07-01,+8.6%,+8.1%,-0.4%,+16.1%,+15.5%,-0.6%,N/A,N/A,N/A
2024-07-02,+7.4%,+7.9%,+0.4%,+14.5%,+14.1%,-0.4%,N/A,N/A,N/A
2024-07-03,+6.7%,+7.5%,+0.8%,+13.9%,+14.3%,+0.4%,N/A,N/A,N/A
2024-07-05,+7.4%,+8.5%,+1.1%,+13.9%,+14.7%,+0.8%,N/A,N/A,N/A
2024-07-08,+7.9%,+8.2%,+0.3%,+14.1%,+15.1%,+1.0%,N/A,N/A,N/A
2024-07-09,+6.6%,+8.1%,+1.5%,+13.6%,+14.5%,+0.9%,N/A,N/A,N/A
2024-07-10,+5.7%,+7.3%,+1.6%,+12.7%,+13.7%,+1.0%,N/A,N/A,N/A
2024-07-11,+5.0%,+4.5%,-0.5%,+13.2%,+10.8%,-2.4%,N/A,N/A,N/A
2024-07-12,+4.5%,+4.4%,-0.1%,+12.9%,+10.2%,-2.6%,N/A,N/A,N/A
2024-07-15,+4.3%,+5.1%,+0.8%,+13.2%,+11.0%,-2.2%,N/A,N/A,N/A
2024-12-17,+0.2%,+0.3%,+0.1%,+14.3%,+8.9%,-5.4%,N/A,N/A,N/A
2024-12-19,+4.6%,+4.0%,-0.6%,+19.2%,+13.1%,-6.0%,N/A,N/A,N/A
2024-12-23,+4.0%,+3.5%,-0.5%,+17.4%,+11.9%,-5.6%,N/A,N/A,N/A
2024-12-24,+3.4%,+3.2%,-0.1%,+15.7%,+10.8%,-4.9%,N/A,N/A,N/A
2024-12-26,+3.3%,+4.3%,+1.0%,+15.6%,+10.5%,-5.1%,N/A,N/A,N/A
2024-12-27,+4.9%,+5.2%,+0.3%,+16.0%,+10.3%,-5.7%,N/A,N/A,N/A
2025-01-06,+5.7%,+6.4%,+0.6%,+17.2%,+13.4%,-3.7%,N/A,N/A,N/A
2025-07-15,+12.2%,+9.5%,-2.6%,N/A,N/A,N/A,N/A,N/A,N/A
2025-07-16,+11.2%,+9.6%,-1.6%,N/A,N/A,N/A,N/A,N/A,N/A
2025-07-21,+8.4%,+7.7%,-0.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-07-30,+10.0%,+8.0%,-2.0%,N/A,N/A,N/A,N/A,N/A,N/A
2025-07-31,+10.1%,+8.8%,-1.3%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-04,+9.9%,+8.9%,-0.9%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-06,+7.7%,+9.5%,+1.8%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-07,+9.9%,+11.6%,+1.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-08,+9.5%,+11.5%,+1.9%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-11,+9.5%,+12.2%,+2.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-12,+8.3%,+11.0%,+2.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-14,+6.3%,+9.8%,+3.5%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-15,+6.7%,+9.9%,+3.1%,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-18,+7.3%,+10.5%,+3.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-10,+2.7%,+4.1%,+1.4%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-12,+2.4%,+4.0%,+1.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-15,+2.1%,+4.8%,+2.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-16,+0.8%,+3.7%,+2.9%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-17,+0.7%,+3.5%,+2.8%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-18,-1.2%,+1.3%,+2.6%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19,-0.7%,+2.6%,+3.3%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-22,-1.5%,+2.7%,+4.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-23,-0.4%,+3.0%,+3.4%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-24,-1.9%,+2.3%,+4.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-25,-3.1%,+1.8%,+4.9%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-26,-4.0%,+0.6%,+4.5%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-29,-1.5%,+2.3%,+3.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-30,-1.1%,+2.3%,+3.4%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-01,-1.3%,+2.4%,+3.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-02,-1.0%,+2.6%,+3.6%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-06,+1.2%,+4.4%,+3.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-07,+2.2%,+4.9%,+2.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-08,+1.5%,+3.8%,+2.3%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-09,+2.8%,+5.9%,+3.0%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-10,+7.0%,+8.7%,+1.8%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-13,+6.2%,+7.7%,+1.6%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-16,+7.9%,+9.9%,+2.0%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-17,+6.6%,+8.6%,+2.0%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-20,+6.5%,+7.5%,+1.0%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-24,+5.7%,+5.8%,+0.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-27,+4.4%,+5.2%,+0.7%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-28,+5.2%,+7.7%,+2.5%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-29,+5.4%,+8.6%,+3.1%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-30,+6.2%,+8.4%,+2.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-10-31,+6.7%,+9.0%,+2.3%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-03,+8.0%,+10.2%,+2.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-04,+9.0%,+10.2%,+1.2%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-05,+9.5%,+9.9%,+0.4%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-06,+10.9%,+10.6%,-0.3%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-07,+10.6%,+9.6%,-1.1%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-10,+9.6%,+8.5%,-1.1%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-11,+10.2%,+8.2%,-1.9%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-12,+8.8%,+6.9%,-1.9%,N/A,N/A,N/A,N/A,N/A,N/A
2025-11-17,+12.0%,+11.2%,-0.8%,N/A,N/A,N/A,N/A,N/A,N/A
2026-05-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2026-05-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2026-05-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
